nb;dept;COMMUNE;Commune;CP;Code_insee;longitude;latitude
15607;40;CAUNA;Cauna;40500;40076;-0.65;43.7833
15608;40;ONARD;Onard;40380;40208;-0.833333;43.7833
15609;40;SERRES-GASTON;Serres-Gaston;40700;40298;-0.5;43.65
15610;40;TETHIEU;Téthieu;40990;40315;-0.975;43.7512
15611;40;LABASTIDE-CHALOSSE;Labastide-Chalosse;40700;40130;-0.616667;43.6167
15612;40;GAMARDE-LES-BAINS;Gamarde-les-Bains;40380;40104;-0.866667;43.7333
15613;40;BELUS;Bélus;40300;40034;-1.1;43.5833
15614;40;HINX;Hinx;40180;40126;-0.933333;43.7
15615;40;LACAJUNTE;Lacajunte;40320;40136;-0.416667;43.6
15616;40;SAUBION;Saubion;40230;40291;-1.35;43.6667
15617;40;SAINT-GOR;Saint-Gor;40120;40262;-0.233333;44.05
15618;40;SAINT-LOUBOUER;Saint-Loubouer;40320;40270;-0.416667;43.6833
15619;40;MAURIES;Mauries;40320;40174;-0.333333;43.6167
15620;40;DONZACQ;Donzacq;40360;40090;-0.8;43.65
15621;40;GAAS;Gaas;40350;40101;-1.03333;43.6167
15622;40;CLERMONT;Clermont;40180;40084;-0.916667;43.65
15623;40;BEGAAR;Bégaar;40400;40031;-0.85;43.8167
15624;40;ORX;Orx;40230;40213;-1.36667;43.6
15625;40;TILH;Tilh;40360;40316;-0.833333;43.5833
15626;40;SAINT-YAGUEN;Saint-Yaguen;40400;40285;-0.733333;43.8833
15627;40;LE LEUY;Le Leuy;40250;40153;-0.6525;43.8223
15628;40;BIAUDOS;Biaudos;40390;40044;-1.3;43.55
15629;40;GOURBERA;Gourbera;40990;40114;-1.05;43.8
15630;40;EYRES-MONCUBE;Eyres-Moncube;40500;40098;-0.55;43.7167
15631;40;SAUBUSSE;Saubusse;40180;40293;-1.18333;43.6667
15632;40;MANT;Mant;40700;40172;-0.516667;43.5833
15633;40;BRASSEMPOUY;Brassempouy;40330;40054;-0.7;43.6333
15634;40;MAGESCQ;Magescq;40140;40168;-1.21667;43.7833
15635;40;SARRON;Sarron;40800;40290;-0.266667;43.5833
15636;40;LE SEN;Le Sen;40420;40297;-0.5;44.1333
15637;40;LIT-ET-MIXE;Lit-et-Mixe;40170;40157;-1.25;44.0333
15638;40;LESPERON;Lespéron;40260;40152;-1.08333;43.9667
15639;40;PARLEBOSCQ;Parleboscq;40310;40218;0.0155556;43.9333
15640;40;SAUBRIGUES;Saubrigues;40230;40292;-1.31667;43.6167
15641;40;ARX;Arx;40310;40015;0.066667;44.1167
15642;40;LABOUHEYRE;Labouheyre;40210;40134;-0.916667;44.2167
15643;40;GARROSSE;Garrosse;40110;40107;-0.916667;44.0167
15644;40;VIELLE-SOUBIRAN;Vielle-Soubiran;40240;40327;-0.183333;44.05
